Time,v_LO_control,v_LE_control,c_LO_measured,c_RE_measured
339,0.5,0.5,14.88,54.96
340,0.5,0.5,14.88,54.95
341,0.5,0.5,14.88,54.96
342,0.5,0.5,14.88,54.96
343,0.5,0.5,14.88,54.96
344,0.5,0.5,14.88,54.96
345,0.5,0.5,14.88,54.96
346,0.5,0.5,14.88,54.96
347,0.5,0.5,14.88,54.96
348,0.5,0.5,14.88,54.96
349,0.5,0.5,14.88,54.96
350,0.5,0.5,14.88,54.96
351,0.5,0.5,14.88,54.95
352,0.5,0.5,14.89,54.96
353,0.5,0.5,14.89,54.96
354,0.5,0.5,14.88,54.95
355,0.5,0.5,14.89,54.96
356,0.5,0.5,14.88,54.96
357,0.5,0.5,14.88,54.96
358,0.5,0.5,14.88,54.96
359,0.5,0.5,14.88,54.96
360,0.5,0.5,14.88,54.96
361,0.5,0.5,14.88,54.96
362,0.5,0.5,14.88,54.95
363,0.5,0.5,14.88,54.95
364,0.5,0.5,14.88,54.96
365,0.5,0.5,14.88,54.96
366,0.5,0.5,14.88,54.96
367,0.5,0.5,14.88,54.96
368,0.5,0.5,14.88,54.96
369,0.5,0.5,14.88,54.96
370,0.5,0.5,14.88,54.96
371,0.5,0.5,14.88,54.96
372,0.5,0.5,14.88,54.96
373,0.5,0.5,14.88,54.96
374,0.5,0.5,14.87,54.95
375,0.5,0.5,14.87,54.95
376,0.5,0.5,14.88,54.96
377,0.5,0.5,14.88,54.95
378,0.5,0.5,14.88,54.96
379,0.5,0.5,14.88,54.96
380,0.5,0.5,14.88,54.96
381,0.5,0.5,14.88,54.96
382,0.5,0.5,14.88,54.96
383,0.5,0.5,14.88,54.96
384,0.5,0.5,14.88,54.96
385,0.5,0.5,14.88,54.96
386,0.5,0.5,14.88,54.96
387,0.5,0.5,14.88,54.96
388,0.5,0.5,14.88,54.96
389,0.5,0.5,14.88,54.96
390,0.5,0.5,14.88,54.96
391,0.5,0.5,14.88,54.96
392,0.5,0.5,14.88,54.96
393,0.5,0.5,14.88,54.96
394,0.5,0.5,14.88,54.96
395,0.5,0.5,14.88,54.96
396,0.5,0.5,14.88,54.96
397,0.5,0.5,14.88,54.96
398,0.5,0.5,14.88,54.96
399,0.5,0.5,14.87,54.95
400,0.5,0.5,14.88,54.96
401,0.5,0.5,14.88,54.96
402,0.5,0.5,14.88,54.96
403,0.5,0.5,14.88,54.96
404,0.5,0.5,14.88,54.96
405,0.5,0.5,14.88,54.96
406,0.5,0.5,14.88,54.96
407,0.5,0.5,14.88,54.96
408,0.5,0.5,14.88,54.96
409,0.5,0.5,14.88,54.96
410,0.5,0.5,14.88,54.95
411,0.5,0.5,14.88,54.96
412,0.5,0.5,14.88,54.96
413,0.5,0.5,14.89,54.96
414,0.5,0.5,14.87,54.95
415,0.5,0.5,14.88,54.96
416,0.5,0.5,14.89,54.96
417,0.5,0.5,14.88,54.96
418,0.5,0.5,14.88,54.96
419,0.5,0.5,14.88,54.95
420,0.5,0.5,14.88,54.96
421,0.5,0.5,14.88,54.96
422,0.5,0.5,14.88,54.96
423,0.5,0.5,14.88,54.96
424,0.5,0.5,14.88,54.96
425,0.5,0.5,14.88,54.96
426,0.5,0.5,14.88,54.96
427,0.5,0.5,14.88,54.95
428,0.5,0.5,14.88,54.96
429,0.5,0.5,14.88,54.96
430,0.5,0.5,14.88,54.96
431,0.5,0.5,14.88,54.96
432,0.5,0.5,14.88,54.96
433,0.5,0.5,14.88,54.96
434,0.5,0.5,14.88,54.96
435,0.5,0.5,14.88,54.96
436,0.5,0.5,14.88,54.96
437,0.5,0.5,14.88,54.96
438,0.5,0.5,14.87,54.95
439,0.5,0.5,14.88,54.96
440,0.5,0.5,14.88,54.96
441,0.5,0.5,14.88,54.96
442,0.5,0.5,14.88,54.95
443,0.5,0.5,14.88,54.96
444,0.5,0.5,14.88,54.95
445,0.5,0.5,14.88,54.96
446,0.5,0.5,14.88,54.96
447,0.5,0.5,14.87,54.95
448,0.5,0.5,14.88,54.96
449,0.5,0.5,14.88,54.96
450,0.5,0.5,14.88,54.96
451,0.5,0.5,14.89,54.96
452,0.5,0.5,14.88,54.96
453,0.5,0.5,14.88,54.96
454,0.5,0.5,14.88,54.96
455,0.5,0.5,14.88,54.96
456,0.5,0.5,14.88,54.96
457,0.5,0.5,14.88,54.96
458,0.5,0.5,14.88,54.96
459,0.5,0.5,14.88,54.96
460,0.5,0.5,14.88,54.96
461,0.5,0.5,14.88,54.96
462,0.5,0.5,14.88,54.96
463,0.5,0.5,14.88,54.96
464,0.5,0.5,14.88,54.96
