Time,c_LO_measured,c_RE_measured,f_PLSP_measured,f_PLSS_measured,f_LO_measured,f_LE_measured,c_PLS_measured,c_LE_measured,c_RaffP_measured,c_RaffS_measured,c_BO_measured
230,14.88,54.96,277.65,278.12,278.32,195.36,7,35,0.01,0.01,0.88
231,14.88,54.95,277.96,278.81,277.15,195.06,7,35,0.01,0.01,0.88
232,14.88,54.96,278.06,278.08,277.74,195.06,7,35,0.01,0.01,0.88
233,14.88,54.96,277.95,277.08,278.04,195.19,7,35,0.01,0,0.89
234,14.88,54.96,278.07,278.03,278.66,195.74,7,35,0.01,0.01,0.88
235,14.88,54.96,277.95,277.24,278.27,194.83,7,35,0.01,0,0.89
236,14.88,54.95,277.35,278.21,276.91,196.01,7,35,0.01,0,0.88
237,14.88,54.96,278.06,278.22,277.97,195.93,7.01,34.99,0.01,0,0.88
238,14.88,54.96,277.7,278.34,278.3,195.74,7.01,35,0.01,0.01,0.89
239,14.88,54.96,278.39,278.06,278.02,194.57,7,35,0.01,0,0.88
240,14.88,54.96,277.58,278.11,277.72,195.07,7,35,0.01,0,0.89
241,14.87,54.96,277.17,279.07,277.54,194.93,7,35,0.01,0,0.88
242,14.88,54.96,277.83,278.03,278.48,195.15,7,35,0.01,0.01,0.89
243,14.88,54.96,278.58,278.63,277.83,194.68,7,35,0.01,0.01,0.88
244,14.88,54.96,277.72,278.15,276.69,195.23,7,35,0.01,0.01,0.88
245,14.88,54.96,278.18,277.49,277.63,194.92,7,35,0.01,0.01,0.89
246,14.88,54.95,277.06,278.51,278.62,195.11,7,35,0.01,0,0.88
247,14.88,54.96,277.83,277.79,278.2,195.25,7,35,0,0,0.88
248,14.88,54.96,277.77,278.1,277.78,194.9,7,35,0.01,0.01,0.88
249,14.88,54.96,278.81,278.37,278.68,194.84,6.99,35,0.01,0.01,0.88
250,14.88,54.96,277.75,277.86,278.24,194.37,7,35,0.01,0,0.89
251,14.88,54.95,277.79,277.25,277,195.18,6.99,35,0,0,0.89
252,14.88,54.96,277.89,277.93,277.31,195.38,7.01,35,0.01,0.01,0.89
253,14.87,54.96,278.48,277.6,278.35,195.12,7,35,0.01,0.01,0.88
254,14.88,54.96,277.87,277.97,278.4,194.69,7,35,0.01,0.01,0.88
255,14.88,54.96,276.72,278.23,278.16,195.12,7,35,0,0.01,0.88
256,14.87,54.96,277.83,278.27,278.13,195.49,7,35,0.01,0.01,0.89
257,14.88,54.96,277.71,278.01,278.02,194.61,7,35,0.01,0.01,0.88
258,14.88,54.96,278.63,277.38,278.27,195.03,7.01,35,0.01,0.01,0.89
259,14.88,54.96,278.16,278.07,278.6,195.28,7,35,0.01,0,0.88
260,14.88,54.95,278.29,277.25,278.66,194.94,7,35,0.01,0,0.88
261,14.88,54.96,277.56,278.65,277.67,195.18,7,35,0.01,0.01,0.88
262,14.88,54.96,277.98,277.7,278.37,195.44,7,35,0,0.01,0.88
263,14.88,54.96,279.08,278.79,277.81,194.8,7,35,0.01,0.01,0.88
264,14.88,54.96,277.82,277.93,277.92,195.26,7,35,0.01,0,0.88
265,14.88,54.95,277.74,278.75,277.51,194.48,7,35,0.01,0.01,0.88
266,14.87,54.96,277.66,278.16,277.6,194.61,7,35,0.01,0.01,0.89
267,14.88,54.96,278.6,278.23,277.89,195.22,7,35,0.01,0.01,0.89
268,14.88,54.96,277.78,278.16,277.99,194.95,7,35,0.01,0,0.88
269,14.89,54.96,277.35,277.51,278.52,194.81,7,35,0.01,0.01,0.89
270,14.88,54.96,277.52,277.98,277.56,194.34,6.99,35,0.01,0,0.89
271,14.88,54.96,278.85,278.19,277.5,195.09,7,35,0,0.01,0.89
272,14.88,54.96,277.71,277.47,278.67,194.69,6.99,35,0.01,0.01,0.88
273,14.88,54.96,278.31,277.9,277.93,194.5,7,35,0,0.01,0.89
274,14.88,54.96,277.92,277.85,277.56,194.46,7,35,0.01,0.02,0.89
275,14.88,54.96,277.82,277.68,278.31,195.02,7,35,0.01,0,0.88
276,14.88,54.96,277.8,278.39,277.93,194.73,7,35,0,0.01,0.88
277,14.88,54.95,278.32,278.89,278.2,194.52,7,35,0.01,0,0.89
278,14.88,54.96,278.35,277.67,278.81,194.85,7,35,0.01,0.01,0.88
279,14.88,54.96,277.73,278.29,277.16,194.91,7.01,35,0.01,0.01,0.88
280,14.88,54.95,277.87,278.14,278.25,194.76,7,35,0,0.01,0.88
281,14.88,54.95,277.79,278.08,278.25,194.86,7,35,0.01,0.01,0.89
282,14.88,54.96,278.32,278.66,277.91,194.32,7,35,0.02,0,0.88
283,14.88,54.95,278.11,277.84,278.24,194.73,7,35,0,0.01,0.88
284,14.88,54.96,277.84,278.35,277.77,194.8,7,35,0,0,0.89
285,14.88,54.96,278.25,277.7,278.12,194.58,7,35,0.01,0,0.89
286,14.88,54.96,277.6,278.08,277.37,195.33,7,35,0.01,0.01,0.88
287,14.88,54.96,277.92,277.33,278.19,194.47,7,35,0.01,0,0.88
288,14.88,54.96,277.37,277.7,278.48,195.3,7,35,0.01,0,0.89
289,14.88,54.96,277.88,278.82,277.91,194.55,7,35,0.01,0.01,0.88
290,14.88,54.96,278.67,277.35,277.9,194.56,7,35,0,0.01,0.88
291,14.88,54.95,277.66,278.42,277.79,195.31,7,35,0.01,0.01,0.88
292,14.88,54.95,277.29,277.87,278.77,195.05,7,34.99,0.01,0.01,0.89
293,14.88,54.96,278.01,278.57,278.62,195.03,6.99,35,0.01,0,0.88
294,14.88,54.96,278.04,277.57,278.64,194.85,7,35,0,0.01,0.88
295,14.88,54.95,278.14,277.96,278.44,194.52,7,35,0.01,0.01,0.89
